ori_read = 17, n = 312072, length_s = '111111111111111110', value_s = '001100001100001001', len(length_s) = 18, len(value_s) = 18
ori_read = 1368441, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368455, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368463, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368473, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368501, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368531, n = 171, length_s = '1111110', value_s = '0101100', len(length_s) = 7, len(value_s) = 7
ori_read = 1368575, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368583, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368619, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368657, n = 59, length_s = '11110', value_s = '11100', len(length_s) = 5, len(value_s) = 5
ori_read = 1368675, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368713, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1368721, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368729, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368737, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368747, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368757, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368771, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368791, n = 112, length_s = '111110', value_s = '110001', len(length_s) = 6, len(value_s) = 6
ori_read = 1368809, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368853, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368907, n = 43, length_s = '11110', value_s = '01100', len(length_s) = 5, len(value_s) = 5
ori_read = 1368963, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368971, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1368979, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1368989, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369033, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369043, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369053, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369203, n = 319, length_s = '11111110', value_s = '01000000', len(length_s) = 8, len(value_s) = 8
ori_read = 1369351, n = 2170, length_s = '11111111110', value_s = '00001111011', len(length_s) = 11, len(value_s) = 11
ori_read = 1369379, n = 71, length_s = '111110', value_s = '001000', len(length_s) = 6, len(value_s) = 6
ori_read = 1369397, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369407, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369451, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369461, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369507, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1369515, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1369523, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369531, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369539, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369547, n = 113, length_s = '111110', value_s = '110010', len(length_s) = 6, len(value_s) = 6
ori_read = 1369565, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369583, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369593, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369607, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369615, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369625, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369653, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369663, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369701, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1369709, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369717, n = 82, length_s = '111110', value_s = '010011', len(length_s) = 6, len(value_s) = 6
ori_read = 1369735, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369743, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369757, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369783, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369797, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369805, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369841, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369871, n = 123, length_s = '111110', value_s = '111100', len(length_s) = 6, len(value_s) = 6
ori_read = 1369899, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369937, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1369945, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1369953, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369963, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1369977, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370005, n = 54, length_s = '11110', value_s = '10111', len(length_s) = 5, len(value_s) = 5
ori_read = 1370027, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370045, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370059, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370067, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370077, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370105, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370135, n = 175, length_s = '1111110', value_s = '0110000', len(length_s) = 7, len(value_s) = 7
ori_read = 1370171, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370179, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370215, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370253, n = 6, length_s = '10', value_s = '11', len(length_s) = 2, len(value_s) = 2
ori_read = 1370263, n = 51, length_s = '11110', value_s = '10100', len(length_s) = 5, len(value_s) = 5
ori_read = 1370281, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370319, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1370327, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370335, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370343, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370353, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370363, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370377, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370397, n = 112, length_s = '111110', value_s = '110001', len(length_s) = 6, len(value_s) = 6
ori_read = 1370415, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370459, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370513, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1370521, n = 47, length_s = '11110', value_s = '10000', len(length_s) = 5, len(value_s) = 5
ori_read = 1370561, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370569, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370577, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370587, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370631, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370641, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370651, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1370785, n = 331, length_s = '11111110', value_s = '01001100', len(length_s) = 8, len(value_s) = 8
ori_read = 1370933, n = 2166, length_s = '11111111110', value_s = '00001110111', len(length_s) = 11, len(value_s) = 11
ori_read = 1370961, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370969, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1370977, n = 55, length_s = '11110', value_s = '11000', len(length_s) = 5, len(value_s) = 5
ori_read = 1370993, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371001, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371009, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371019, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371063, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371073, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371119, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1371127, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1371135, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371143, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371151, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371159, n = 113, length_s = '111110', value_s = '110010', len(length_s) = 6, len(value_s) = 6
ori_read = 1371177, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371195, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371205, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371219, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371227, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371237, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371265, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371275, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371313, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1371321, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371329, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371339, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371347, n = 75, length_s = '111110', value_s = '001100', len(length_s) = 6, len(value_s) = 6
ori_read = 1371365, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371373, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371387, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371413, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371427, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371435, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371471, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371501, n = 127, length_s = '1111110', value_s = '0000000', len(length_s) = 7, len(value_s) = 7
ori_read = 1371523, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371561, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1371569, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371577, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371587, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371601, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371629, n = 54, length_s = '11110', value_s = '10111', len(length_s) = 5, len(value_s) = 5
ori_read = 1371651, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371669, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371683, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371691, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371701, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371729, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371759, n = 179, length_s = '1111110', value_s = '0110100', len(length_s) = 7, len(value_s) = 7
ori_read = 1371787, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371795, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371831, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371869, n = 6, length_s = '10', value_s = '11', len(length_s) = 2, len(value_s) = 2
ori_read = 1371879, n = 51, length_s = '11110', value_s = '10100', len(length_s) = 5, len(value_s) = 5
ori_read = 1371897, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371935, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1371943, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371951, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1371959, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371969, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371979, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1371993, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372013, n = 112, length_s = '111110', value_s = '110001', len(length_s) = 6, len(value_s) = 6
ori_read = 1372031, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372075, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372129, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1372137, n = 59, length_s = '11110', value_s = '11100', len(length_s) = 5, len(value_s) = 5
ori_read = 1372153, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372161, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372169, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372179, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372223, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372233, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372243, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372361, n = 339, length_s = '11111110', value_s = '01010100', len(length_s) = 8, len(value_s) = 8
ori_read = 1372509, n = 2166, length_s = '11111111110', value_s = '00001110111', len(length_s) = 11, len(value_s) = 11
ori_read = 1372537, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372545, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372553, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372561, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372569, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372579, n = 36, length_s = '11110', value_s = '00101', len(length_s) = 5, len(value_s) = 5
ori_read = 1372601, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372609, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372617, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372625, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372635, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372679, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372689, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372735, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1372743, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1372751, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372759, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372767, n = 120, length_s = '111110', value_s = '111001', len(length_s) = 6, len(value_s) = 6
ori_read = 1372795, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372805, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372819, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372827, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372837, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372865, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372875, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372913, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1372921, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1372929, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372939, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372949, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372963, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1372977, n = 39, length_s = '11110', value_s = '01000', len(length_s) = 5, len(value_s) = 5
ori_read = 1373015, n = 10, length_s = '110', value_s = '011', len(length_s) = 3, len(value_s) = 3
ori_read = 1373027, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373035, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373049, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373075, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373089, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373097, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373133, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373153, n = 136, length_s = '1111110', value_s = '0001001', len(length_s) = 7, len(value_s) = 7
ori_read = 1373203, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1373211, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373219, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373229, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373243, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373281, n = 49, length_s = '11110', value_s = '10010', len(length_s) = 5, len(value_s) = 5
ori_read = 1373303, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373321, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373335, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373343, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373353, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373381, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373411, n = 183, length_s = '1111110', value_s = '0111000', len(length_s) = 7, len(value_s) = 7
ori_read = 1373431, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373439, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373475, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373513, n = 6, length_s = '10', value_s = '11', len(length_s) = 2, len(value_s) = 2
ori_read = 1373523, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373531, n = 48, length_s = '11110', value_s = '10001', len(length_s) = 5, len(value_s) = 5
ori_read = 1373549, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373587, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1373595, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373603, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1373611, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373621, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373631, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373645, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373665, n = 112, length_s = '111110', value_s = '110001', len(length_s) = 6, len(value_s) = 6
ori_read = 1373683, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373727, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373781, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1373789, n = 67, length_s = '111110', value_s = '000100', len(length_s) = 6, len(value_s) = 6
ori_read = 1373807, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373817, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373861, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373871, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373881, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1373975, n = 355, length_s = '11111110', value_s = '01100100', len(length_s) = 8, len(value_s) = 8
ori_read = 1374115, n = 2166, length_s = '11111111110', value_s = '00001110111', len(length_s) = 11, len(value_s) = 11
ori_read = 1374143, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374151, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374159, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374167, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374175, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374185, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374195, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374209, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374217, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374243, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374253, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374275, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374283, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374291, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374299, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374309, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374353, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374363, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
ori_read = 1374409, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1374417, n = 3, length_s = '10', value_s = '00', len(length_s) = 2, len(value_s) = 2
ori_read = 1374425, n = 2, length_s = '0', value_s = '1', len(length_s) = 1, len(value_s) = 1
ori_read = 1374433, n = 128, length_s = '1111110', value_s = '0000001', len(length_s) = 7, len(value_s) = 7
ori_read = 1374455, n = 1, length_s = '0', value_s = '0', len(length_s) = 1, len(value_s) = 1
